EV Charger Registration Code,operator,No. of Charging Outlets,evCpId,plugType,chargingSpeed,PostalCode,Block/House No,Street Name,Building Name,Floor No,Lot No,Is the charger publicly accessible?,longitude,latitude
R108971R,CHARGE+ PTE. LTD.,2,R108971R-002,CCS 2,120,409030,178,PAYA LEBAR ROAD,PAYA LEBAR 178,LQ,63 & 64,Yes,103.8901693,1.3298711
R109118F,CHARGE+ PTE. LTD.,2,R109118F-001,Type 2,7.4,640657,657,JURONG WEST STREET 65,MULTI STOREY CAR PARK,L3B,367 & 366,Yes,103.7009565,1.3353771
R109118F,CHARGE+ PTE. LTD.,2,R109118F-002,Type 2,7.4,640657,657,JURONG WEST STREET 65,MULTI STOREY CAR PARK,L3B,367 & 366,Yes,103.7009565,1.3353771
R109141G,CHARGE+ PTE. LTD.,2,R109141G-001,Type 2,7.4,100105,105,DEPOT ROAD,DEPOT HEIGHTS,L2A,101 & 100,Yes,103.8123659,1.2808707
R109141G,CHARGE+ PTE. LTD.,2,R109141G-002,Type 2,7.4,100105,105,DEPOT ROAD,DEPOT HEIGHTS,L2A,101 & 100,Yes,103.8123659,1.2808707
R109142R,CHARGE+ PTE. LTD.,2,R109142R-001,Type 2,7.4,100105,105,DEPOT ROAD,DEPOT HEIGHTS,L2A,103 & 102,Yes,103.8123659,1.2808707
R109142R,CHARGE+ PTE. LTD.,2,R109142R-002,Type 2,7.4,100105,105,DEPOT ROAD,DEPOT HEIGHTS,L2A,103 & 102,Yes,103.8123659,1.2808707
R109143D,CHARGE+ PTE. LTD.,2,R109143D-001,Type 2,7.4,100105,105,DEPOT ROAD,DEPOT HEIGHTS,L2A,105 & 104,Yes,103.8123659,1.2808707
R109143D,CHARGE+ PTE. LTD.,2,R109143D-002,Type 2,7.4,100105,105,DEPOT ROAD,DEPOT HEIGHTS,L2A,105 & 104,Yes,103.8123659,1.2808707
R109146E,CHARGE+ PTE. LTD.,2,R109146E-001,Type 2,7.4,142060,60A,STRATHMORE AVENUE,MULTI STOREY CAR PARK,L3B,125 & 124,Yes,103.8118775,1.2925635
R109146E,CHARGE+ PTE. LTD.,2,R109146E-002,Type 2,7.4,142060,60A,STRATHMORE AVENUE,MULTI STOREY CAR PARK,L3B,125 & 124,Yes,103.8118775,1.2925635
R109147K,CHARGE+ PTE. LTD.,2,R109147K-001,Type 2,7.4,142060,60A,STRATHMORE AVENUE,MULTI STOREY CAR PARK,L3B,127 & 126,Yes,103.8118775,1.2925635
R109147K,CHARGE+ PTE. LTD.,2,R109147K-002,Type 2,7.4,142060,60A,STRATHMORE AVENUE,MULTI STOREY CAR PARK,L3B,127 & 126,Yes,103.8118775,1.2925635
R109148B,CHARGE+ PTE. LTD.,2,R109148B-001,Type 2,7.4,142060,60A,STRATHMORE AVENUE,MULTI STOREY CAR PARK,L3B,129 & 128,Yes,103.8118775,1.2925635
R109148B,CHARGE+ PTE. LTD.,2,R109148B-002,Type 2,7.4,142060,60A,STRATHMORE AVENUE,MULTI STOREY CAR PARK,L3B,129 & 128,Yes,103.8118775,1.2925635
R109245F,CHARGE+ PTE. LTD.,2,R109245F-001,Type 2,7.4,657290,290H,BUKIT BATOK STREET 24,MULTI STOREY CAR PARK,L3,208 & 207,Yes,103.7579336,1.3432429
R109245F,CHARGE+ PTE. LTD.,2,R109245F-002,Type 2,7.4,657290,290H,BUKIT BATOK STREET 24,MULTI STOREY CAR PARK,L3,208 & 207,Yes,103.7579336,1.3432429
R109246Z,CHARGE+ PTE. LTD.,2,R109246Z-001,Type 2,7.4,657290,290H,BUKIT BATOK STREET 24,MULTI STOREY CAR PARK,L3,206 & 205,Yes,103.7579336,1.3432429
R109246Z,CHARGE+ PTE. LTD.,2,R109246Z-002,Type 2,7.4,657290,290H,BUKIT BATOK STREET 24,MULTI STOREY CAR PARK,L3,206 & 205,Yes,103.7579336,1.3432429
R109247C,CHARGE+ PTE. LTD.,2,R109247C-001,Type 2,7.4,657290,290H,BUKIT BATOK STREET 24,MULTI STOREY CAR PARK,L3,204 & 203,Yes,103.7579336,1.3432429
R109247C,CHARGE+ PTE. LTD.,2,R109247C-002,Type 2,7.4,657290,290H,BUKIT BATOK STREET 24,MULTI STOREY CAR PARK,L3,204 & 203,Yes,103.7579336,1.3432429
R109365A,CHARGE+ PTE. LTD.,2,R109365A-001,Type 2,7.4,349584,84,GENTING LANE,AXXEL INNOVATION CENTRE,L1,7 & 8,Yes,103.8773278,1.3245828
R109365A,CHARGE+ PTE. LTD.,2,R109365A-002,Type 2,7.4,349584,84,GENTING LANE,AXXEL INNOVATION CENTRE,L1,7 & 8,Yes,103.8773278,1.3245828
R109367K,CHARGE+ PTE. LTD.,2,R109367K-001,Type 2,7.4,681661,661A,CHOA CHU KANG CRESCENT,MULTI STOREY CAR PARK,L4A,MC45 & 363,Yes,103.7502364,1.400659
R109367K,CHARGE+ PTE. LTD.,2,R109367K-002,Type 2,7.4,681661,661A,CHOA CHU KANG CRESCENT,MULTI STOREY CAR PARK,L4A,MC45 & 363,Yes,103.7502364,1.400659
R109372F,CHARGE+ PTE. LTD.,2,R109372F-001,Type 2,7.4,640686,686,JURONG WEST CENTRAL 1,MULTI STOREY CAR PARK,L3,256 & MC47,Yes,103.704149,1.3417968
R109372F,CHARGE+ PTE. LTD.,2,R109372F-002,Type 2,7.4,640686,686,JURONG WEST CENTRAL 1,MULTI STOREY CAR PARK,L3,256 & MC47,Yes,103.704149,1.3417968
